firstName	lastName	PID	Work	PerformanceID	mediaName	boeName	mediaOffset
Werner	Goebl1	WG1	SchumannClara_Romanze	CSchumann200-WG-20190911-1	SchumannClara_Romanze-WG-20190911-1.mp4	SchumannClara_Romanze-WG-20190911-1.boe	-23.677
Werner	Goebl2	WG2	SchumannClara_Romanze	CSchumann200-WG-20190911-2	SchumannClara_Romanze-WG-20190911-2.mp4	SchumannClara_Romanze-WG-20190911-2.boe	-6.823
Werner	Goebl3	WG3	SchumannClara_Romanze	CSchumann200-WG-sightread	SchumannClara_Romanze-WG.mp4	SchumannClara_Romanze-WG-sightread.boe	9.67
